iter	Accuracy	Logloss
0	0.9196426547	0.5540281808
1	0.9196426547	0.4614398003
2	0.9196426547	0.4007801859
3	0.9196426547	0.3609219589
4	0.9196426547	0.3345206637
5	0.9196426547	0.3167175874
6	0.9196426547	0.3046055484
7	0.9196426547	0.2964042525
8	0.9196426547	0.2906418522
9	0.9196426547	0.2866772219
10	0.9196426547	0.2839718895
11	0.9196426547	0.2819678868
12	0.9196426547	0.2804787143
13	0.9196426547	0.2795453954
14	0.9196426547	0.2788498198
15	0.9196426547	0.2783120399
16	0.9196426547	0.2779266229
17	0.9196426547	0.2775987049
18	0.9196426547	0.2774114432
19	0.9196426547	0.277228054
20	0.9196426547	0.2770975619
21	0.9196426547	0.2770242302
22	0.9196426547	0.2769513202
23	0.9196426547	0.2768830464
24	0.9196426547	0.2768347479
25	0.9196426547	0.2767822948
26	0.9196426547	0.2767250875
27	0.9196426547	0.2767007146
28	0.9196426547	0.2766654095
29	0.9196426547	0.2766427287
30	0.9196426547	0.2766247678
31	0.9196426547	0.2766148303
32	0.9196426547	0.2765946468
33	0.9196426547	0.2765725086
34	0.9196426547	0.2765628189
35	0.9196426547	0.2765562844
36	0.9196426547	0.2765422346
37	0.9196426547	0.2765270126
38	0.9196426547	0.2765142826
39	0.9196426547	0.2765025811
40	0.9196426547	0.2764919264
41	0.9196426547	0.2764802789
42	0.9196426547	0.2764680092
43	0.9196426547	0.2764550518
44	0.9196426547	0.276449158
45	0.9196426547	0.2764412369
46	0.9196426547	0.2764374517
47	0.9196426547	0.2764257491
48	0.9196426547	0.2764139922
49	0.9196426547	0.276393036
50	0.9196426547	0.2763736206
51	0.9196426547	0.2763663249
52	0.9196426547	0.2763613231
53	0.9196426547	0.276354779
54	0.9196426547	0.2763480257
55	0.9196426547	0.2763388924
56	0.9196426547	0.2763306474
57	0.9196426547	0.2763149708
58	0.9196426547	0.2763092589
59	0.9196426547	0.2763041622
60	0.9196426547	0.276299301
61	0.9196426547	0.2762918817
62	0.9196426547	0.2762883061
63	0.9196426547	0.2762815276
64	0.9196426547	0.2762763238
65	0.9196426547	0.2762649317
66	0.9196426547	0.2762617491
67	0.9196426547	0.2762507685
68	0.9196426547	0.2762443354
69	0.9196426547	0.2762420756
70	0.9196426547	0.276233998
71	0.9196426547	0.2762276986
72	0.9196426547	0.2762181893
73	0.9196426547	0.2762076253
74	0.9196426547	0.2762045239
75	0.9196426547	0.2761990531
76	0.9196426547	0.2761918967
77	0.9196426547	0.2761868609
78	0.9196426547	0.2761835085
79	0.9196426547	0.2761759112
80	0.9196426547	0.2761732603
81	0.9196426547	0.2761640049
82	0.9196426547	0.2761605108
83	0.9196443989	0.2761541082
84	0.919646143	0.2761428916
85	0.919646143	0.2761362203
86	0.919646143	0.276125251
87	0.919646143	0.2761183408
88	0.919646143	0.2761132406
89	0.919646143	0.276106994
90	0.919646143	0.2760982018
91	0.919646143	0.2760915998
92	0.919646143	0.2760842189
93	0.919646143	0.2760780632
94	0.919646143	0.2760737087
95	0.919646143	0.2760698967
96	0.919646143	0.276064322
97	0.919646143	0.2760588254
98	0.919646143	0.2760517094
99	0.919646143	0.2760449022
100	0.919646143	0.2760406047
101	0.919646143	0.2760362742
102	0.919646143	0.2760330724
103	0.919646143	0.2760273109
104	0.919646143	0.2760185954
105	0.919646143	0.2760160964
106	0.919646143	0.2760076593
107	0.919646143	0.2760037719
108	0.919646143	0.2759997721
109	0.919646143	0.2759895028
110	0.919646143	0.2759868611
111	0.919646143	0.2759830645
112	0.919646143	0.2759799302
113	0.919646143	0.275975762
114	0.919646143	0.2759725844
115	0.919646143	0.2759656104
116	0.919646143	0.2759633698
117	0.919646143	0.2759585286
118	0.919646143	0.2759544082
119	0.919646143	0.2759475494
120	0.919646143	0.2759385442
121	0.919646143	0.2759325578
122	0.919646143	0.2759298508
123	0.919646143	0.2759235221
124	0.919646143	0.2759179132
125	0.919646143	0.2759105066
126	0.919646143	0.2759072091
127	0.919646143	0.2759002692
128	0.919646143	0.275896569
129	0.919646143	0.2758914976
130	0.919646143	0.2758897649
131	0.919646143	0.2758875082
132	0.919646143	0.2758824795
133	0.919646143	0.2758770845
134	0.919646143	0.2758732078
135	0.919646143	0.2758695712
136	0.919646143	0.2758612431
137	0.919646143	0.275854068
138	0.919646143	0.2758499055
139	0.919646143	0.275846763
140	0.919646143	0.2758412432
141	0.919646143	0.275838265
142	0.919646143	0.275835804
143	0.919646143	0.2758322831
144	0.919646143	0.2758306602
145	0.919646143	0.2758252567
146	0.919646143	0.2758235351
147	0.919646143	0.2758189623
148	0.919646143	0.2758139119
149	0.919646143	0.2758104188
150	0.919646143	0.2758079594
151	0.919646143	0.2757974476
152	0.919646143	0.2757871295
153	0.919646143	0.2757772401
154	0.919646143	0.2757697909
155	0.919646143	0.2757679115
156	0.919646143	0.275762729
157	0.919646143	0.2757592761
158	0.919646143	0.2757557398
159	0.919646143	0.2757506273
160	0.919646143	0.2757453032
161	0.919646143	0.2757410594
162	0.919646143	0.2757393085
163	0.919646143	0.2757375103
164	0.919646143	0.2757346537
165	0.919646143	0.2757284341
166	0.9196478872	0.2757253775
167	0.9196478872	0.2757235103
168	0.9196478872	0.2757196818
169	0.9196478872	0.2757164598
170	0.9196478872	0.2757121155
171	0.9196478872	0.2757075837
172	0.9196478872	0.2757025292
173	0.9196478872	0.2756998664
174	0.9196478872	0.2756983206
175	0.9196478872	0.2756960644
176	0.9196478872	0.2756918614
177	0.9196478872	0.275687185
178	0.9196478872	0.2756836616
179	0.9196478872	0.2756767103
180	0.9196478872	0.2756712675
181	0.9196478872	0.275667591
182	0.9196478872	0.2756614987
183	0.9196496314	0.2756578577
184	0.9196496314	0.2756562364
185	0.9196496314	0.2756538063
186	0.9196496314	0.2756481485
187	0.9196496314	0.2756395705
188	0.9196496314	0.2756370914
189	0.9196496314	0.2756347782
190	0.9196496314	0.2756298576
191	0.9196496314	0.2756271069
192	0.9196496314	0.2756252339
193	0.9196496314	0.2756208939
194	0.9196496314	0.2756202782
195	0.9196496314	0.2756181948
196	0.9196496314	0.2756143038
197	0.9196496314	0.2756111343
198	0.9196496314	0.2756083364
199	0.9196496314	0.2756040804
200	0.9196496314	0.2755990694
201	0.9196496314	0.2755930267
202	0.9196496314	0.2755885909
203	0.9196496314	0.2755852954
204	0.9196496314	0.2755754253
205	0.9196496314	0.2755740475
206	0.9196496314	0.2755721503
207	0.9196496314	0.2755668919
208	0.9196496314	0.275560604
209	0.9196496314	0.2755570743
210	0.9196496314	0.2755533697
211	0.9196496314	0.2755508984
212	0.9196496314	0.275542247
213	0.9196496314	0.2755365665
214	0.9196496314	0.2755332531
215	0.9196496314	0.2755316498
216	0.9196496314	0.2755303163
217	0.9196496314	0.2755262364
218	0.9196496314	0.2755231002
219	0.9196496314	0.2755199994
220	0.9196496314	0.2755174228
221	0.9196496314	0.2755148205
222	0.9196496314	0.2755105534
223	0.9196496314	0.2755075724
224	0.9196496314	0.2755024492
225	0.9196496314	0.2755010508
226	0.9196496314	0.2754985196
227	0.9196496314	0.2754963465
228	0.9196496314	0.2754916749
229	0.9196496314	0.2754884093
230	0.9196496314	0.2754862372
231	0.9196496314	0.2754843863
232	0.9196496314	0.2754823217
233	0.9196496314	0.2754750551
234	0.9196496314	0.2754728939
235	0.9196496314	0.2754705044
236	0.9196496314	0.2754687311
237	0.9196496314	0.2754660458
238	0.9196496314	0.2754599755
239	0.9196496314	0.2754559969
240	0.9196496314	0.2754534332
241	0.9196496314	0.2754502165
242	0.9196496314	0.2754438955
243	0.9196496314	0.2754418828
244	0.9196496314	0.2754394449
245	0.9196496314	0.2754371305
246	0.9196496314	0.2754343644
247	0.9196496314	0.2754318785
248	0.9196496314	0.2754279255
249	0.9196496314	0.2754239699
250	0.9196496314	0.275416308
251	0.9196496314	0.2754139154
252	0.9196496314	0.2754094964
253	0.9196496314	0.2754060321
254	0.9196496314	0.2754017995
255	0.9196496314	0.2753959048
256	0.9196496314	0.2753905985
257	0.9196496314	0.2753887808
258	0.9196496314	0.2753875491
259	0.9196513755	0.2753857213
260	0.9196513755	0.275381819
261	0.9196513755	0.2753771451
262	0.9196513755	0.2753753574
263	0.9196513755	0.275371335
264	0.9196513755	0.2753671218
265	0.9196531197	0.2753649492
266	0.9196531197	0.2753630358
267	0.9196531197	0.2753600464
268	0.9196531197	0.2753556518
269	0.9196531197	0.2753513152
270	0.9196531197	0.2753495645
271	0.9196531197	0.2753469335
272	0.9196531197	0.2753440936
273	0.9196531197	0.2753416936
274	0.9196531197	0.2753403214
275	0.919656608	0.2753388866
276	0.919656608	0.2753367465
277	0.919656608	0.275332902
278	0.919656608	0.2753318462
279	0.9196583522	0.2753311958
280	0.9196583522	0.2753283752
281	0.919656608	0.275325019
282	0.919656608	0.2753208587
283	0.919656608	0.2753181689
284	0.919656608	0.2753153907
285	0.919656608	0.275314032
286	0.919656608	0.2753129351
287	0.919656608	0.2753082113
288	0.919656608	0.275305777
289	0.919656608	0.2753046462
290	0.919656608	0.2753001329
291	0.919656608	0.2752986787
292	0.919656608	0.2752951048
293	0.919656608	0.2752911597
294	0.919656608	0.2752894766
295	0.919656608	0.2752860694
296	0.919656608	0.2752846005
297	0.919656608	0.2752807752
298	0.919656608	0.2752789267
299	0.919656608	0.2752746139
300	0.919656608	0.2752717691
301	0.919656608	0.2752703848
302	0.919656608	0.2752687593
303	0.919656608	0.2752654747
304	0.919656608	0.2752620321
305	0.919656608	0.2752602288
306	0.9196583522	0.2752563275
307	0.9196583522	0.2752544444
308	0.919656608	0.2752519773
309	0.919656608	0.2752500366
310	0.919656608	0.2752462048
311	0.919656608	0.2752433832
312	0.919656608	0.2752425754
313	0.919656608	0.275241766
314	0.919656608	0.2752363346
315	0.919656608	0.2752336204
316	0.919656608	0.2752302734
317	0.919656608	0.275226443
318	0.919656608	0.2752212988
319	0.919656608	0.2752189534
320	0.919656608	0.2752157111
321	0.9196583522	0.2752127243
322	0.9196583522	0.2752099834
323	0.919656608	0.2752048507
324	0.919656608	0.2752006779
325	0.9196583522	0.2751996936
326	0.9196583522	0.2751984441
327	0.9196583522	0.2751978102
328	0.9196583522	0.2751957258
329	0.9196583522	0.2751931118
330	0.9196583522	0.2751919077
331	0.9196583522	0.2751891297
332	0.9196583522	0.2751874953
333	0.9196583522	0.2751835379
334	0.9196583522	0.2751818725
335	0.9196583522	0.2751747927
336	0.9196583522	0.2751707271
337	0.9196618406	0.2751696978
338	0.9196618406	0.2751668992
339	0.9196618406	0.2751647867
340	0.9196600964	0.2751626453
341	0.9196600964	0.2751592263
342	0.9196600964	0.2751579121
343	0.9196600964	0.2751510323
344	0.9196600964	0.2751497584
345	0.9196618406	0.2751469319
346	0.9196618406	0.27514211
347	0.9196618406	0.2751405215
348	0.9196618406	0.2751371903
349	0.9196635847	0.2751364211
350	0.9196618406	0.2751343449
351	0.9196635847	0.2751316098
352	0.9196635847	0.275129927
353	0.9196635847	0.2751286346
354	0.9196635847	0.2751275015
355	0.9196635847	0.2751257605
356	0.9196635847	0.2751249715
357	0.9196635847	0.275123367
358	0.9196635847	0.2751219227
359	0.9196635847	0.275120128
360	0.9196635847	0.2751186463
361	0.9196635847	0.2751145138
362	0.9196635847	0.2751134689
363	0.9196635847	0.2751092781
364	0.9196635847	0.2751063637
365	0.9196635847	0.2751050158
366	0.9196635847	0.2751021768
367	0.9196635847	0.2750994554
368	0.9196635847	0.2750943171
369	0.9196635847	0.2750927995
370	0.9196635847	0.2750912585
371	0.9196635847	0.2750873452
372	0.9196635847	0.2750823013
373	0.9196635847	0.275080725
374	0.9196635847	0.2750794106
375	0.9196635847	0.2750748823
376	0.9196653289	0.2750712631
377	0.9196653289	0.2750692119
378	0.9196653289	0.2750670068
379	0.9196653289	0.275064391
380	0.9196635847	0.2750610497
381	0.9196653289	0.2750589043
382	0.9196635847	0.2750586456
383	0.9196653289	0.2750557312
384	0.9196653289	0.2750539273
385	0.9196653289	0.27504925
386	0.9196653289	0.2750465337
387	0.9196653289	0.2750440701
388	0.9196653289	0.275043067
389	0.9196653289	0.2750421334
390	0.9196653289	0.2750395015
391	0.9196653289	0.2750370728
392	0.9196653289	0.2750359969
393	0.9196653289	0.2750350536
394	0.9196653289	0.2750266253
395	0.9196653289	0.275024362
396	0.9196653289	0.2750226264
397	0.9196653289	0.2750211787
398	0.9196653289	0.2750168399
399	0.9196653289	0.2750153567
400	0.9196653289	0.2750110078
401	0.9196653289	0.2750101414
402	0.9196653289	0.2750091603
403	0.9196653289	0.2750076107
404	0.9196653289	0.2750062236
405	0.9196670731	0.27500406
406	0.9196670731	0.2750010135
407	0.9196670731	0.2749992623
408	0.9196670731	0.274997165
409	0.9196670731	0.2749959846
410	0.9196670731	0.274994707
411	0.9196670731	0.2749935229
412	0.9196670731	0.2749924622
413	0.9196670731	0.2749903247
414	0.9196670731	0.2749878721
415	0.9196670731	0.2749858562
416	0.9196670731	0.2749828652
417	0.9196670731	0.2749788773
418	0.9196670731	0.2749756959
419	0.9196670731	0.2749749224
420	0.9196670731	0.2749736179
421	0.9196670731	0.2749704803
422	0.9196670731	0.2749685165
423	0.9196670731	0.2749675042
424	0.9196670731	0.2749662689
425	0.9196670731	0.2749646455
426	0.9196670731	0.2749630446
427	0.9196670731	0.2749588099
428	0.9196670731	0.274956326
429	0.9196670731	0.2749555724
430	0.9196670731	0.2749531228
431	0.9196670731	0.2749508065
432	0.9196670731	0.2749488001
433	0.9196670731	0.2749479501
434	0.9196670731	0.2749454089
435	0.9196670731	0.2749421535
436	0.9196670731	0.2749411766
437	0.9196670731	0.2749399639
438	0.9196670731	0.2749355752
439	0.9196670731	0.2749337218
440	0.9196670731	0.274931769
441	0.9196670731	0.2749292597
442	0.9196670731	0.2749272699
443	0.9196670731	0.2749225272
444	0.9196670731	0.2749199332
445	0.9196688172	0.2749189633
446	0.9196688172	0.274916574
447	0.9196688172	0.2749150796
448	0.9196688172	0.2749110662
449	0.9196688172	0.2749088529
450	0.9196688172	0.2749071534
451	0.9196688172	0.274899864
452	0.9196688172	0.2748990466
453	0.9196688172	0.2748972238
454	0.9196688172	0.2748961917
455	0.9196688172	0.2748938115
456	0.9196688172	0.2748926364
457	0.9196688172	0.2748911747
458	0.9196688172	0.2748901812
459	0.9196688172	0.274888852
460	0.9196688172	0.2748877662
461	0.9196688172	0.2748860016
462	0.9196688172	0.2748844487
463	0.9196688172	0.2748828415
464	0.9196688172	0.2748785401
465	0.9196688172	0.27487468
466	0.9196688172	0.2748730271
467	0.9196688172	0.2748708857
468	0.9196688172	0.2748694845
469	0.9196688172	0.2748673249
470	0.9196688172	0.2748654882
471	0.9196705614	0.2748640645
472	0.9196705614	0.2748627245
473	0.9196705614	0.274861503
474	0.9196705614	0.2748595499
475	0.9196705614	0.274858913
476	0.9196705614	0.2748553502
477	0.9196705614	0.2748514504
478	0.9196705614	0.2748490936
479	0.9196705614	0.2748442428
480	0.9196705614	0.2748431367
481	0.9196705614	0.2748388441
482	0.9196705614	0.2748374809
483	0.9196705614	0.2748357407
484	0.9196705614	0.2748340012
485	0.9196705614	0.2748314595
486	0.9196705614	0.2748284692
487	0.9196705614	0.2748227518
488	0.9196705614	0.2748205361
489	0.9196705614	0.2748184522
490	0.9196705614	0.2748164824
491	0.9196705614	0.2748130296
492	0.9196705614	0.2748115097
493	0.9196705614	0.2748075438
494	0.9196705614	0.2748045322
495	0.9196705614	0.2748036946
496	0.9196705614	0.2748028711
497	0.9196705614	0.2748014956
498	0.9196705614	0.274800248
499	0.9196688172	0.274797277
500	0.9196688172	0.2747959198
501	0.9196688172	0.27479404
502	0.9196688172	0.2747930183
503	0.9196688172	0.2747893353
504	0.9196688172	0.2747884548
505	0.9196688172	0.2747879697
506	0.9196688172	0.2747863658
507	0.9196688172	0.2747849772
508	0.9196688172	0.274781454
509	0.9196688172	0.2747794222
510	0.9196688172	0.2747781577
511	0.9196688172	0.2747774648
512	0.9196688172	0.2747724325
513	0.9196688172	0.2747715667
514	0.9196688172	0.2747690002
515	0.9196705614	0.2747670011
516	0.9196705614	0.2747654882
517	0.9196705614	0.2747648413
518	0.9196705614	0.2747632467
519	0.9196705614	0.2747623983
520	0.9196705614	0.2747602067
521	0.9196705614	0.2747592073
522	0.9196705614	0.2747576367
523	0.9196705614	0.2747545229
524	0.9196705614	0.27475272
525	0.9196705614	0.2747519407
526	0.9196705614	0.2747491516
527	0.9196705614	0.2747476911
528	0.9196705614	0.2747460507
529	0.9196705614	0.2747433442
530	0.9196705614	0.2747401334
531	0.9196705614	0.2747383379
532	0.9196723056	0.2747354278
533	0.9196723056	0.2747326417
534	0.9196723056	0.2747311264
535	0.9196723056	0.2747301703
536	0.9196723056	0.2747286965
537	0.9196723056	0.2747276675
538	0.9196723056	0.2747260385
539	0.9196723056	0.2747227324
540	0.9196723056	0.2747214639
541	0.9196723056	0.2747196907
542	0.9196723056	0.2747158557
543	0.9196723056	0.2747150414
544	0.9196723056	0.2747113035
545	0.9196723056	0.2747106497
546	0.9196723056	0.2747098134
547	0.9196723056	0.2747074416
548	0.9196723056	0.2747044294
549	0.9196723056	0.2747031456
550	0.9196740497	0.27470224
551	0.9196740497	0.2747018934
552	0.9196740497	0.2746999387
553	0.9196740497	0.2746983632
554	0.9196740497	0.2746970763
555	0.9196740497	0.2746957243
556	0.9196740497	0.2746944879
557	0.9196740497	0.2746937053
558	0.9196740497	0.2746905204
559	0.9196740497	0.2746888378
560	0.9196740497	0.274687527
561	0.9196740497	0.2746865531
562	0.9196740497	0.2746855665
563	0.9196740497	0.2746849054
564	0.9196740497	0.2746840885
565	0.9196740497	0.2746830991
566	0.9196740497	0.274679506
567	0.9196740497	0.2746773212
568	0.9196740497	0.2746751267
569	0.9196740497	0.2746736516
570	0.9196740497	0.2746707108
571	0.9196740497	0.274670102
572	0.9196740497	0.2746689124
573	0.9196740497	0.2746679094
574	0.9196740497	0.2746675277
575	0.9196740497	0.2746649734
576	0.9196740497	0.2746622675
577	0.9196740497	0.2746616399
578	0.9196740497	0.2746603483
579	0.9196740497	0.2746596992
580	0.9196740497	0.274656522
581	0.9196740497	0.2746554542
582	0.9196740497	0.2746542947
583	0.9196740497	0.2746515003
584	0.9196740497	0.274650371
585	0.9196740497	0.2746492832
586	0.9196740497	0.2746476816
587	0.9196740497	0.2746459821
588	0.9196740497	0.274644029
589	0.9196740497	0.2746420393
590	0.9196740497	0.2746407047
591	0.9196740497	0.2746393509
592	0.9196740497	0.2746386326
593	0.9196740497	0.274635915
594	0.9196740497	0.2746338141
595	0.9196740497	0.2746295617
596	0.9196740497	0.2746291347
597	0.9196740497	0.2746274396
598	0.9196740497	0.274626664
599	0.9196740497	0.274624443
600	0.9196740497	0.2746232769
601	0.9196740497	0.2746221824
602	0.9196740497	0.2746204336
603	0.9196740497	0.2746182788
604	0.9196740497	0.2746165677
605	0.9196740497	0.2746161556
606	0.9196740497	0.2746156175
607	0.9196740497	0.2746147374
608	0.9196740497	0.2746122608
609	0.9196740497	0.2746101299
610	0.9196740497	0.2746088386
611	0.9196757939	0.2746077946
612	0.9196757939	0.2746062902
613	0.9196757939	0.2746041224
614	0.9196757939	0.274602397
615	0.9196757939	0.2746009926
616	0.9196757939	0.2745988268
617	0.9196757939	0.2745961998
618	0.9196775381	0.2745934464
619	0.9196775381	0.2745922726
620	0.9196775381	0.2745891147
621	0.9196775381	0.2745876096
622	0.9196775381	0.2745845802
623	0.9196775381	0.2745828524
624	0.9196775381	0.2745794861
625	0.9196775381	0.274577483
626	0.9196775381	0.2745754889
627	0.9196775381	0.2745743926
628	0.9196792822	0.2745735828
629	0.9196792822	0.2745727643
630	0.9196792822	0.274571601
631	0.9196810264	0.2745708533
632	0.9196810264	0.2745687428
633	0.9196810264	0.2745639032
634	0.9196810264	0.2745635976
635	0.9196810264	0.2745631094
636	0.9196810264	0.2745625506
637	0.9196810264	0.2745595056
638	0.9196810264	0.2745589277
639	0.9196810264	0.2745583031
640	0.9196810264	0.2745551759
641	0.9196810264	0.2745543247
642	0.9196810264	0.2745534281
643	0.9196827706	0.2745525286
644	0.9196827706	0.2745508107
645	0.9196827706	0.2745489686
646	0.9196827706	0.2745484605
647	0.9196827706	0.2745474659
648	0.9196827706	0.2745467215
649	0.9196827706	0.2745454852
650	0.9196827706	0.2745435753
651	0.9196827706	0.2745410605
652	0.9196827706	0.2745394492
653	0.9196827706	0.2745383918
654	0.9196827706	0.2745363408
655	0.9196810264	0.2745360434
656	0.9196810264	0.2745344351
657	0.9196810264	0.2745335603
658	0.9196810264	0.274532737
659	0.9196827706	0.2745309861
660	0.9196827706	0.2745298122
661	0.9196827706	0.2745283032
662	0.9196827706	0.2745267974
663	0.9196827706	0.2745263055
664	0.9196827706	0.2745215458
665	0.9196827706	0.2745208178
666	0.9196827706	0.2745202212
667	0.9196827706	0.2745196724
668	0.9196827706	0.2745173923
669	0.9196827706	0.274515224
670	0.9196827706	0.274513841
671	0.9196827706	0.2745123136
672	0.9196827706	0.2745109578
673	0.9196810264	0.2745084237
674	0.9196810264	0.2745068363
675	0.9196827706	0.2745053824
676	0.9196827706	0.2745043896
677	0.9196827706	0.2745009694
678	0.9196827706	0.2744991169
679	0.9196827706	0.2744966634
680	0.9196827706	0.2744945959
681	0.9196827706	0.2744935346
682	0.9196827706	0.2744929651
683	0.9196827706	0.2744904114
684	0.9196827706	0.2744897577
685	0.9196827706	0.2744882002
686	0.9196827706	0.2744863962
687	0.9196827706	0.2744841661
688	0.9196827706	0.2744823036
689	0.9196827706	0.2744809942
690	0.9196827706	0.2744786701
691	0.9196827706	0.2744785209
692	0.9196827706	0.2744777534
693	0.9196827706	0.2744763219
694	0.9196827706	0.2744746807
695	0.9196827706	0.2744718151
696	0.9196827706	0.2744708589
697	0.9196827706	0.27447025
698	0.9196827706	0.2744693464
699	0.9196827706	0.2744683287
700	0.9196827706	0.2744678594
701	0.9196827706	0.2744667207
702	0.9196827706	0.2744647888
703	0.9196827706	0.2744640872
704	0.9196845147	0.2744596772
705	0.9196845147	0.2744580213
706	0.9196845147	0.2744574584
707	0.9196845147	0.2744565251
708	0.9196845147	0.2744545798
709	0.9196845147	0.2744540323
710	0.9196845147	0.2744511665
711	0.9196845147	0.2744477796
712	0.9196845147	0.2744467242
713	0.9196845147	0.2744448472
714	0.9196845147	0.2744442961
715	0.9196845147	0.2744432222
716	0.9196827706	0.2744410174
717	0.9196827706	0.2744406882
718	0.9196827706	0.2744392305
719	0.9196827706	0.2744387212
720	0.9196827706	0.2744377886
721	0.9196827706	0.2744371637
722	0.9196827706	0.2744345243
723	0.9196827706	0.2744341931
724	0.9196827706	0.2744338622
725	0.9196827706	0.2744327372
726	0.9196827706	0.2744324814
727	0.9196827706	0.2744298034
728	0.9196827706	0.2744288423
729	0.9196827706	0.2744283638
730	0.9196827706	0.2744266193
731	0.9196845147	0.2744252554
732	0.9196845147	0.2744240615
733	0.9196827706	0.2744227896
734	0.9196827706	0.2744204973
735	0.9196845147	0.2744196821
736	0.9196845147	0.2744184599
737	0.9196845147	0.2744174909
738	0.9196845147	0.2744172759
739	0.9196845147	0.2744165083
740	0.9196845147	0.2744161112
741	0.9196845147	0.2744126364
742	0.9196845147	0.2744113473
743	0.9196845147	0.2744106053
744	0.9196845147	0.2744075899
745	0.9196845147	0.2744072063
746	0.9196845147	0.2744048875
747	0.9196845147	0.2744037656
748	0.9196845147	0.274403325
749	0.9196845147	0.2744013101
750	0.9196845147	0.274400837
751	0.9196845147	0.2744001795
752	0.9196845147	0.2743993123
753	0.9196845147	0.2743988867
754	0.9196845147	0.2743972299
755	0.9196845147	0.274394368
756	0.9196845147	0.2743934153
757	0.9196845147	0.2743912663
758	0.9196845147	0.2743896862
759	0.9196845147	0.274389195
760	0.9196845147	0.2743868003
761	0.9196845147	0.2743862718
762	0.9196845147	0.2743819207
763	0.9196845147	0.2743816729
764	0.9196845147	0.2743802658
765	0.9196845147	0.2743787694
766	0.9196845147	0.2743774169
767	0.9196845147	0.274373289
768	0.9196845147	0.2743717697
769	0.9196845147	0.2743704815
770	0.9196845147	0.2743672614
771	0.9196845147	0.274366015
772	0.9196845147	0.2743646132
773	0.9196845147	0.2743641381
774	0.9196845147	0.2743632074
775	0.9196845147	0.2743625273
776	0.9196845147	0.2743599049
777	0.9196845147	0.2743593511
778	0.9196845147	0.2743582794
779	0.9196845147	0.2743574521
780	0.9196845147	0.2743572011
781	0.9196845147	0.2743565486
782	0.9196845147	0.2743560427
783	0.9196845147	0.2743548812
784	0.9196845147	0.2743527457
785	0.9196845147	0.2743508917
786	0.9196845147	0.2743488173
787	0.9196845147	0.2743476295
788	0.9196845147	0.274346453
789	0.9196845147	0.2743451501
790	0.9196845147	0.2743445496
791	0.9196845147	0.2743435178
792	0.9196862589	0.27434315
793	0.9196862589	0.2743407672
794	0.9196862589	0.27434033
795	0.9196862589	0.2743382095
796	0.9196862589	0.2743358265
797	0.9196862589	0.2743351173
798	0.9196862589	0.2743345012
799	0.9196862589	0.274333856
800	0.9196862589	0.2743330258
801	0.9196862589	0.2743313344
802	0.9196862589	0.2743303146
803	0.9196862589	0.2743293544
804	0.9196862589	0.274327876
805	0.9196862589	0.274327391
806	0.9196862589	0.274326144
807	0.9196862589	0.2743240485
808	0.9196862589	0.2743203085
809	0.9196862589	0.2743198508
810	0.9196862589	0.274319526
811	0.9196862589	0.2743186452
812	0.9196862589	0.2743182251
813	0.9196862589	0.2743165073
814	0.9196862589	0.274315724
815	0.9196862589	0.2743126599
816	0.9196862589	0.2743102408
817	0.9196862589	0.2743071114
818	0.9196862589	0.2743067799
819	0.9196845147	0.2743054458
820	0.9196862589	0.2743030204
821	0.9196845147	0.2742998698
822	0.9196862589	0.2742993913
823	0.9196862589	0.2742984589
824	0.9196862589	0.2742977186
825	0.9196862589	0.2742956332
826	0.9196845147	0.2742949129
827	0.9196845147	0.2742947012
828	0.9196845147	0.2742937765
829	0.9196845147	0.2742923975
830	0.9196845147	0.2742908743
831	0.9196845147	0.2742891571
832	0.9196845147	0.2742880425
833	0.9196845147	0.2742869594
834	0.9196845147	0.2742866872
835	0.9196845147	0.2742861977
836	0.9196845147	0.2742845362
837	0.9196845147	0.2742841604
838	0.9196845147	0.2742831967
839	0.9196845147	0.2742814566
840	0.9196845147	0.2742791042
841	0.9196845147	0.2742784571
842	0.9196845147	0.2742774381
