iter	Passed	Remaining
0	241	241041
1	428	213664
2	624	207377
3	883	219980
4	1088	216630
5	1270	210559
6	1458	206872
7	1638	203208
8	1823	200830
9	2006	198659
10	2233	200820
11	2412	198598
12	2602	197607
13	2771	195183
14	2955	194046
15	3193	196388
16	3382	195593
17	3571	194835
18	3737	192951
19	3915	191842
20	4120	192073
21	4328	192429
22	4527	192307
23	4707	191430
24	4883	190452
25	5076	190157
26	5288	190589
27	5474	190052
28	5663	189632
29	5847	189065
30	6026	188370
31	6247	189000
32	6454	189140
33	6644	188788
34	6825	188181
35	6990	187180
36	7216	187820
37	7399	187334
38	7579	186762
39	7767	186421
40	7952	186005
41	8167	186290
42	8347	185783
43	8532	185383
44	8754	185781
45	8961	185863
46	9184	186220
47	9381	186064
48	9562	185590
49	9753	185325
50	9957	185287
51	10226	186441
52	10407	185954
53	10589	185517
54	10768	185024
55	10956	184690
56	11171	184815
57	11361	184524
58	11545	184144
59	11730	183777
60	11910	183340
61	12109	183210
62	12304	183006
63	12486	182619
64	12671	182271
65	12846	181792
66	13023	181353
67	13247	181565
68	13430	181218
69	13609	180816
70	13799	180557
71	13980	180196
72	14214	180501
73	14403	180232
74	14589	179937
75	14778	179669
76	14960	179332
77	15194	179610
78	15412	179686
79	15597	179371
80	15785	179100
81	15971	178804
82	16195	178931
83	16384	178664
84	16571	178382
85	16757	178101
86	16946	177838
87	17166	177902
88	17348	177573
89	17529	177247
90	17719	177000
91	17900	176670
92	18104	176566
93	18297	176360
94	18485	176101
95	18671	175824
96	18859	175563
97	19040	175246
98	19256	175256
99	19436	174924
100	19618	174622
101	19806	174378
102	20012	174281
103	20231	174303
104	20411	173985
105	20588	173645
106	20776	173399
107	20959	173110
108	21200	173302
109	21380	172989
110	21561	172683
111	21748	172437
112	21927	172122
113	22153	172177
114	22333	171871
115	22524	171653
116	22703	171341
117	22889	171088
118	23104	171054
119	23337	171140
120	23517	170842
121	23687	170475
122	23875	170233
123	24066	170021
124	24289	170025
125	24470	169743
126	24657	169499
127	24846	169265
128	25029	168994
129	25239	168910
130	25420	168625
131	25600	168345
132	25793	168144
133	25973	167861
134	26202	167888
135	26381	167600
136	26566	167347
137	26734	166991
138	26926	166788
139	27145	166752
140	27335	166535
141	27518	166275
142	27697	165990
143	27883	165753
144	28097	165677
145	28295	165511
146	28465	165176
147	28650	164936
148	28844	164744
149	29027	164491
150	29265	164546
151	29453	164316
152	29637	164074
153	29814	163784
154	30005	163578
155	30218	163490
156	30397	163216
157	30576	162944
158	30761	162707
159	30956	162522
160	31175	162460
161	31358	162214
162	31536	161937
163	31708	161633
164	31897	161422
165	32127	161412
166	32309	161160
167	32488	160897
168	32673	160660
169	32860	160438
170	33065	160300
171	33252	160077
172	33442	159864
173	33618	159592
174	33804	159365
175	34011	159235
176	34227	159148
177	34409	158902
178	34592	158663
179	34777	158429
180	34970	158236
181	35247	158418
182	35455	158291
183	35639	158051
184	35822	157810
185	36008	157585
186	36227	157504
187	36408	157252
188	36633	157195
189	36830	157013
190	37025	156823
191	37240	156721
192	37409	156421
193	37594	156193
194	37771	155927
195	37961	155721
196	38188	155661
197	38377	155446
198	38559	155205
199	38746	154985
200	38933	154764
201	39148	154654
202	39338	154448
203	39521	154212
204	39707	153988
205	39900	153789
206	40123	153709
207	40320	153527
208	40505	153301
209	40691	153077
210	40884	152881
211	41101	152774
212	41295	152581
213	41554	152627
214	41739	152397
215	41921	152161
216	42114	151963
217	42301	151741
218	42485	151511
219	42674	151299
220	42857	151068
221	43071	150944
222	43300	150872
223	43490	150664
224	43673	150430
225	43858	150205
226	44054	150019
227	44265	149880
228	44448	149648
229	44632	149421
230	44815	149190
231	45096	149284
232	45330	149221
233	45520	149012
234	45699	148766
235	45881	148531
236	46088	148378
237	46281	148179
238	46468	147960
239	46656	147744
240	46843	147527
241	47027	147300
242	47309	147378
243	47504	147185
244	47686	146952
245	47866	146713
246	48080	146578
247	48346	146600
248	48532	146376
249	48719	146158
250	48893	145900
251	49117	145793
252	49356	145729
253	49574	145600
254	49763	145386
255	49948	145162
256	50229	145216
257	50436	145054
258	50620	144825
259	50839	144697
260	51083	144639
261	51277	144438
262	51460	144208
263	51724	144201
264	51907	143969
265	52121	143823
266	52319	143632
267	52500	143397
268	52685	143171
269	52874	142956
270	53087	142807
271	53374	142854
272	53564	142641
273	53748	142414
274	53931	142183
275	54183	142134
276	54383	141947
277	54572	141732
278	54753	141495
279	54931	141252
280	55143	141096
281	55326	140866
282	55521	140667
283	55691	140406
284	55932	140321
285	56177	140247
286	56366	140033
287	56564	139839
288	56751	139621
289	56976	139494
290	57218	139407
291	57391	139153
292	57592	138969
293	57771	138729
294	57997	138604
295	58222	138475
296	58400	138234
297	58621	138094
298	58839	137948
299	59040	137761
300	59247	137586
301	59487	137490
302	59670	137262
303	59854	137036
304	60128	137014
305	60311	136785
306	60508	136588
307	60686	136346
308	60874	136129
309	61085	135964
310	61269	135739
311	61518	135655
312	61713	135453
313	61898	135230
314	62188	135234
315	62372	135008
316	62565	134802
317	62748	134572
318	62938	134360
319	63173	134242
320	63394	134096
321	63588	133891
322	63778	133677
323	64035	133605
324	64226	133393
325	64409	133165
326	64606	132967
327	64785	132732
328	64971	132510
329	65232	132440
330	65428	132241
331	65623	132038
332	65817	131832
333	66013	131632
334	66212	131437
335	66397	131213
336	66581	130989
337	66780	130794
338	66969	130581
339	67191	130430
340	67382	130219
341	67576	130016
342	67772	129815
343	67946	129571
344	68207	129495
345	68430	129345
346	68648	129184
347	68874	129041
348	69095	128885
349	69277	128659
350	69464	128440
351	69651	128222
352	69852	128030
353	70064	127858
354	70257	127650
355	70447	127438
356	70634	127221
357	70845	127046
358	71062	126882
359	71252	126671
360	71440	126455
361	71624	126233
362	71811	126017
363	71987	125781
364	72208	125622
365	72442	125487
366	72631	125274
367	72870	125147
368	73153	125094
369	73343	124882
370	73524	124654
371	73760	124521
372	73975	124350
373	74194	124186
374	74378	123964
375	74563	123744
376	74753	123532
377	74947	123326
378	75169	123167
379	75353	122944
380	75553	122749
381	75798	122626
382	76090	122579
383	76297	122394
384	76479	122168
385	76699	122003
386	76956	121898
387	77210	121786
388	77440	121635
389	77625	121414
390	77860	121271
391	78157	121223
392	78333	120987
393	78518	120766
394	78703	120545
395	78874	120303
396	79073	120104
397	79253	119875
398	79435	119650
399	79613	119420
400	79799	119201
401	79987	118985
402	80200	118808
403	80381	118582
404	80566	118363
405	80751	118144
406	80937	117925
407	81170	117776
408	81352	117553
409	81531	117326
410	81718	117109
411	81904	116893
412	82135	116740
413	82321	116522
414	82505	116302
415	82694	116090
416	82881	115875
417	83109	115717
418	83295	115500
419	83474	115274
420	83657	115054
421	83843	114838
422	84049	114649
423	84245	114446
424	84430	114229
425	84611	114006
426	84797	113791
427	85002	113600
428	85239	113453
429	85422	113234
430	85599	113007
431	85783	112789
432	86033	112658
433	86237	112465
434	86421	112248
435	86604	112029
436	86787	111811
437	86990	111617
438	87200	111434
439	87406	111244
440	87590	111027
441	87777	110813
442	87981	110622
443	88249	110510
444	88442	110304
445	88624	110084
446	88810	109871
447	89026	109693
448	89255	109531
449	89461	109341
450	89705	109197
451	89904	108999
452	90119	108820
453	90330	108635
454	90504	108406
455	90687	108188
456	90866	107966
457	91095	107802
458	91278	107585
459	91487	107398
460	91667	107177
461	91851	106961
462	92090	106808
463	92269	106586
464	92472	106393
465	92657	106178
466	92840	105961
467	93054	105779
468	93232	105557
469	93450	105380
470	93633	105163
471	93900	105041
472	94119	104865
473	94299	104644
474	94509	104457
475	94687	104235
476	94872	104021
477	95090	103843
478	95273	103626
479	95460	103415
480	95641	103197
481	95825	102982
482	96045	102805
483	96230	102592
484	96418	102382
485	96630	102197
486	96810	101978
487	97051	101824
488	97234	101609
489	97439	101416
490	97656	101236
491	97841	101023
492	98101	100887
493	98331	100720
494	98528	100518
495	98845	100439
496	99187	100384
497	99523	100323
498	99881	100282
499	100245	100245
500	100448	100047
501	100687	99884
502	100927	99723
503	101281	99673
504	101495	99485
505	101701	99289
506	101962	99146
507	102374	99150
508	102580	98952
509	102801	98770
510	103065	98628
511	103338	98494
512	103691	98436
513	104008	98342
514	104279	98205
515	104464	97985
516	104661	97778
517	104869	97581
518	105136	97438
519	105348	97244
520	105596	97083
521	105867	96943
522	106232	96888
523	106530	96772
524	106868	96690
525	107212	96613
526	107420	96413
527	107664	96245
528	107848	96023
529	108227	95975
530	108429	95768
531	108626	95558
532	108810	95336
533	109097	95205
534	109284	94985
535	109465	94761
536	109648	94538
537	109828	94313
538	110081	94151
539	110281	93943
540	110462	93719
541	110645	93497
542	110829	93276
543	111048	93085
544	111254	92882
545	111432	92656
546	111612	92431
547	111791	92207
548	112033	92034
549	112239	91831
550	112429	91616
551	112634	91413
552	112826	91199
553	113063	91021
554	113274	90823
555	113458	90603
556	113643	90384
557	113824	90162
558	114054	89978
559	114259	89775
560	114441	89554
561	114617	89327
562	114797	89105
563	115028	88922
564	115275	88751
565	115456	88530
566	115646	88315
567	115885	88138
568	116118	87956
569	116342	87766
570	116563	87575
571	116754	87361
572	116984	87176
573	117166	86956
574	117386	86763
575	117569	86544
576	117759	86329
577	117968	86128
578	118151	85909
579	118334	85690
580	118543	85490
581	118728	85272
582	118948	85079
583	119144	84870
584	119350	84667
585	119549	84459
586	119734	84242
587	119958	84052
588	120140	83833
589	120323	83614
590	120535	83416
591	120727	83203
592	120983	83035
593	121166	82817
594	121366	82610
595	121572	82408
596	121745	82183
597	121955	81983
598	122217	81818
599	122391	81594
600	122686	81450
601	122955	81289
602	123186	81103
603	123451	80938
604	123705	80766
605	123908	80561
606	124170	80393
607	124420	80218
608	124642	80025
609	124851	79823
610	125110	79653
611	125311	79445
612	125547	79260
613	125795	79083
614	126034	78899
615	126274	78716
616	126505	78527
617	126723	78330
618	126981	78158
619	127164	77939
620	127464	77792
621	127652	77576
