iter	Accuracy	Logloss
0	0.9149894311	0.5429438105
1	0.9149894311	0.4436247225
2	0.9149732129	0.3783993406
3	0.9149894311	0.3356138067
4	0.9149894311	0.3126542963
5	0.9149948372	0.2912293366
6	0.9149948372	0.2804742779
7	0.9149948372	0.2693520894
8	0.9149948372	0.2616112536
9	0.9149948372	0.2561060145
10	0.9149948372	0.2522146831
11	0.9149894311	0.2503101747
12	0.9149894311	0.2489896805
13	0.9149894311	0.247135725
14	0.9149894311	0.2456821916
15	0.9149948372	0.2448719034
16	0.9149948372	0.2440492473
17	0.9149948372	0.2435068671
18	0.9149894311	0.2431809636
19	0.9149894311	0.242816369
20	0.9149894311	0.2425341232
21	0.9149894311	0.2422668004
22	0.9149894311	0.242053706
23	0.9149894311	0.2419330485
24	0.9149894311	0.2418135961
25	0.9149894311	0.2416889422
26	0.9149894311	0.2415628834
27	0.9149948372	0.2414319239
28	0.9149894311	0.24137076
29	0.9149948372	0.2412948718
30	0.9149948372	0.2411722531
31	0.9149948372	0.2411164668
32	0.9149948372	0.2410300918
33	0.9149948372	0.2409495453
34	0.9150056494	0.2408820986
35	0.9150056494	0.2408006817
36	0.9150056494	0.2407611148
37	0.9150056494	0.2406956179
38	0.9150056494	0.2406363372
39	0.9150056494	0.2406028843
40	0.9150110554	0.2405631117
41	0.9150110554	0.2405145422
42	0.9150164615	0.2404296397
43	0.9150164615	0.2403954001
44	0.9150164615	0.240342698
45	0.9150218676	0.2403035916
46	0.9150218676	0.2402521582
47	0.9150218676	0.240216667
48	0.9150218676	0.2401712157
49	0.9150218676	0.2401119049
50	0.9150218676	0.2400578405
51	0.9150218676	0.2400071522
52	0.9150218676	0.2399668059
53	0.9150218676	0.2399317189
54	0.9150272737	0.2398620551
55	0.9150326797	0.2398388745
56	0.9150380858	0.2397976118
57	0.9150380858	0.2397386843
58	0.9150380858	0.2397007426
59	0.9150380858	0.2396269735
60	0.915048898	0.239571198
61	0.915048898	0.239538113
62	0.915054304	0.2394878022
63	0.915054304	0.2394552653
64	0.9150651162	0.2394147875
65	0.9150867405	0.2393625167
66	0.9150867405	0.2393529382
67	0.9150867405	0.2393357338
68	0.9150867405	0.23932171
69	0.9150867405	0.2392873163
70	0.9150867405	0.2392521466
71	0.9150867405	0.2392213879
72	0.9150867405	0.2391873606
73	0.9150867405	0.2391499359
74	0.9150867405	0.2391323018
75	0.9150975527	0.2390916554
76	0.9150975527	0.2390689419
77	0.9150975527	0.2390288925
78	0.9150975527	0.2390012447
79	0.9150975527	0.238975229
80	0.9150975527	0.2389246756
81	0.9151029587	0.238882446
82	0.9151029587	0.2388423862
83	0.915119177	0.238814365
84	0.9151353952	0.238799759
85	0.9151353952	0.2387699394
86	0.9151408013	0.2387336853
87	0.9151408013	0.2387186982
88	0.9151570195	0.2386950479
89	0.9151570195	0.23866307
90	0.9151732378	0.2386254281
91	0.9151678317	0.2385883414
92	0.9151732378	0.2385348439
93	0.9151786438	0.2384775909
94	0.9151732378	0.2384525755
95	0.9151732378	0.2384146056
96	0.9151732378	0.2383744277
97	0.9151732378	0.2383502673
98	0.9151732378	0.2383031601
99	0.915189456	0.2382579368
100	0.9151786438	0.2382282939
101	0.915189456	0.2381814752
102	0.915189456	0.2381526829
103	0.915189456	0.2381171507
104	0.915189456	0.2380920262
105	0.915189456	0.238074397
106	0.9151948621	0.2380271973
107	0.9151948621	0.2380021524
108	0.915189456	0.2379578037
109	0.9152056742	0.2379243968
110	0.9152056742	0.2379071586
111	0.9152056742	0.2378821678
112	0.9152056742	0.2378480143
113	0.9152056742	0.2378177946
114	0.9151948621	0.2378003859
115	0.9151948621	0.237757201
116	0.9151948621	0.2377267477
117	0.9151948621	0.2376789131
118	0.9151948621	0.2376652415
119	0.9151948621	0.2376323754
120	0.9152218925	0.2375942095
121	0.9152218925	0.2375349012
122	0.9152218925	0.2374845886
123	0.9152327046	0.2374535183
124	0.9152435168	0.2374200448
125	0.9152381107	0.2373800706
126	0.9152381107	0.2373338875
127	0.9152381107	0.237318108
128	0.915259735	0.2372850587
129	0.915259735	0.2372790266
130	0.9152543289	0.237262048
131	0.9152435168	0.2372376336
132	0.9152435168	0.2372186016
133	0.9152543289	0.237193375
134	0.9152651411	0.2371723918
135	0.9152651411	0.2371412371
136	0.9152381107	0.237109939
137	0.9152381107	0.2370801619
138	0.9152489228	0.2370735528
139	0.9152489228	0.2370537852
140	0.9152543289	0.2370221382
141	0.9152543289	0.2370079457
142	0.9152705471	0.2369927371
143	0.9152867654	0.2369421516
144	0.9152867654	0.2369132597
145	0.9152867654	0.2368871389
146	0.9153354201	0.2368452833
147	0.9153354201	0.2368289444
148	0.9153354201	0.2367991899
149	0.9153354201	0.2367663816
150	0.9153354201	0.2367263744
151	0.9153354201	0.2366768667
152	0.9153570444	0.2366482547
153	0.9153624505	0.2365810994
154	0.9153570444	0.236553611
155	0.915400293	0.236536387
156	0.9154327295	0.2365148688
157	0.9154327295	0.2364908234
158	0.9154327295	0.2364690181
159	0.9154327295	0.2364593793
160	0.9154327295	0.2364153174
161	0.9154327295	0.2363850727
162	0.9154327295	0.2363428106
163	0.9154327295	0.236303905
164	0.9154543538	0.2362773919
165	0.9154543538	0.2362482921
166	0.9154489477	0.2362038063
167	0.9154489477	0.2361639387
168	0.9154543538	0.2361326842
169	0.9154543538	0.2361041283
170	0.9154543538	0.2360820617
171	0.9154489477	0.2360480697
172	0.9154381356	0.236002497
173	0.9154381356	0.235961151
174	0.9154111052	0.2359351413
175	0.9154111052	0.2359122381
176	0.9154111052	0.2358791251
177	0.9154111052	0.2358493992
178	0.9154111052	0.2358419529
179	0.9154111052	0.2358032627
180	0.9154435416	0.2357849809
181	0.9154435416	0.2357630039
182	0.9154489477	0.2357370578
183	0.9154543538	0.2357049505
184	0.9154597599	0.2356663445
185	0.915470572	0.2356409207
186	0.915470572	0.2356164075
187	0.915470572	0.235579395
188	0.915470572	0.2355542494
189	0.915470572	0.2355107219
190	0.915470572	0.235485534
191	0.915470572	0.2354365235
192	0.9154651659	0.2353802225
193	0.9154651659	0.2353671362
194	0.9154651659	0.2353407512
195	0.915470572	0.2353015889
196	0.915470572	0.2352611631
197	0.9154867902	0.2352342439
198	0.9155030085	0.2351929645
199	0.9155300389	0.2351659904
200	0.9155246328	0.2351418033
201	0.9155246328	0.2351220662
202	0.915540851	0.2350859344
203	0.9155354449	0.2350676646
204	0.915540851	0.2350355992
205	0.9155462571	0.2349824542
206	0.9155570693	0.234937533
207	0.9155570693	0.2348988972
208	0.9155624753	0.2348553784
209	0.9155624753	0.234835098
210	0.9155624753	0.2347949126
211	0.9155732875	0.2347648163
212	0.9155895057	0.2347187384
213	0.9155949118	0.2346852864
214	0.9155949118	0.2346386587
215	0.9156003179	0.2346048183
216	0.915605724	0.2345858415
217	0.9156003179	0.2345583799
218	0.91561113	0.2345400026
219	0.9156273483	0.2345052489
