iter	Passed	Remaining
0	255	255488
1	534	266831
2	633	210500
3	769	191709
4	939	186990
5	1217	201659
6	1398	198347
7	1534	190281
8	1670	183903
9	1799	178149
10	1967	176937
11	2165	178290
12	2274	172712
13	2388	168222
14	2540	166799
15	2734	168176
16	2871	166064
17	2989	163076
18	3168	163577
19	3436	168407
20	3574	166660
21	3707	164828
22	3811	161922
23	4080	165924
24	4302	167800
25	4460	167094
26	4632	166949
27	4883	169517
28	4983	166857
29	5070	163946
30	5185	162079
31	5346	161743
32	5425	158973
33	5495	156146
34	5573	153662
35	5651	151323
36	5731	149169
37	5801	146859
38	5882	144960
39	6002	144067
40	6103	142758
41	6222	141925
42	6294	140087
43	6376	138538
44	6451	136907
45	6521	135255
46	6612	134080
47	6682	132532
48	6777	131539
49	6891	130941
50	6967	129655
51	7040	128346
52	7123	127284
53	7222	126526
54	7296	125365
55	7401	124775
56	7472	123629
57	7543	122514
58	7615	121455
59	7701	120656
60	7796	120015
61	7914	119742
62	8000	118997
63	8093	118364
64	8200	117960
65	8281	117189
66	8357	116386
67	8460	115958
68	8611	116198
69	8760	116390
70	9046	118366
71	9205	118647
72	9376	119069
73	9486	118712
74	9609	118519
75	9822	119421
76	9997	119835
77	10150	119984
78	10399	121237
79	10611	122035
80	10725	121690
81	10835	121304
82	10936	120831
83	11042	120419
84	11334	122009
85	11541	122658
86	11663	122399
87	11774	122024
88	11878	121582
89	11972	121059
90	12128	121154
91	12296	121364
92	12453	121451
93	12558	121045
94	12679	120787
95	12789	120430
96	12859	119715
97	12948	119183
98	13027	118560
99	13098	117888
100	13206	117548
101	13293	117033
102	13388	116600
103	13497	116285
104	13581	115766
105	13671	115301
106	13791	115099
107	13884	114679
108	13985	114322
109	14083	113952
110	14160	113411
111	14258	113045
112	14335	112526
113	14402	111935
114	14482	111449
115	14591	111198
116	14698	110927
117	14810	110701
118	14890	110236
119	14961	109714
120	15036	109230
121	15105	108711
122	15185	108276
123	15292	108034
124	15403	107823
125	15481	107384
126	15568	107016
127	15637	106527
128	15708	106065
129	15787	105654
130	15874	105305
131	15972	105030
132	16060	104695
133	16130	104243
134	16217	103912
135	16332	103759
136	16444	103591
137	16534	103283
138	16621	102956
139	16689	102518
140	16771	102177
141	16847	101798
142	16918	101392
143	17018	101164
144	17126	100990
145	17249	100894
146	17372	100805
147	17455	100487
148	17668	100910
149	17907	101473
150	18035	101405
151	18245	101789
152	18454	102161
153	18573	102033
154	18678	101826
155	18903	102270
156	19079	102443
157	19253	102602
158	19391	102568
159	19624	103031
160	19727	102803
161	19866	102765
162	20013	102768
163	20223	103088
164	20361	103040
165	20475	102869
166	20586	102687
167	20871	103365
168	20982	103174
169	21094	102992
170	21223	102889
171	21509	103543
172	21612	103315
173	21725	103131
174	21819	102862
175	21910	102583
176	22012	102350
177	22085	101990
178	22158	101630
179	22240	101319
180	22380	101269
181	22483	101052
182	22587	100840
183	22716	100741
184	22836	100602
185	22979	100564
186	23082	100354
187	23154	100008
188	23238	99716
189	23348	99536
190	23425	99219
191	23506	98922
192	23580	98596
193	23675	98364
194	23793	98225
195	23891	98004
196	23979	97742
197	24068	97490
198	24156	97232
199	24246	96984
200	24358	96827
201	24447	96581
202	24517	96259
203	24648	96178
204	24719	95864
205	24793	95562
206	24883	95328
207	25008	95223
208	25267	95628
209	25464	95794
210	25581	95659
211	25687	95478
212	25889	95656
213	26071	95758
214	26184	95604
215	26309	95494
216	26631	96094
217	26784	96081
218	26933	96051
219	27070	95976
220	27204	95894
221	27398	96019
222	27657	96366
223	27799	96306
224	27920	96170
225	28161	96446
226	28322	96445
227	28448	96324
228	28630	96392
229	28881	96691
230	29010	96576
231	29121	96401
232	29220	96190
233	29301	95917
234	29377	95634
235	29474	95417
236	29566	95185
237	29649	94927
238	29719	94629
239	29789	94333
240	29874	94085
241	29956	93829
242	30039	93578
243	30147	93408
244	30243	93199
245	30328	92957
246	30463	92871
247	30624	92862
248	30736	92703
249	30824	92473
250	30907	92229
251	31001	92020
252	31108	91850
253	31195	91620
254	31297	91437
255	31382	91205
256	31479	91008
257	31610	90910
258	31693	90676
259	31780	90452
260	31885	90280
261	31970	90053
262	32068	89865
263	32177	89706
264	32260	89475
265	32357	89288
266	32451	89091
267	32578	88981
268	32676	88797
269	32757	88567
270	32843	88348
271	32932	88143
272	33015	87921
273	33114	87740
274	33213	87562
275	33292	87331
276	33380	87126
277	33480	86953
278	33611	86859
279	33709	86682
280	33836	86577
281	34046	86684
282	34238	86745
283	34386	86692
284	34509	86576
285	34656	86519
286	34829	86526
287	34975	86466
288	35236	86687
289	35418	86713
290	35566	86654
291	35775	86744
292	36004	86876
293	36134	86771
294	36404	87001
295	36562	86959
296	36699	86867
297	36875	86866
298	37095	86970
299	37332	87108
300	37471	87018
301	37599	86901
302	37763	86867
303	37909	86793
304	37994	86576
305	38074	86351
306	38167	86156
307	38255	85951
308	38353	85768
309	38459	85604
310	38546	85397
311	38632	85188
312	38725	84998
313	38853	84883
314	38995	84800
315	39120	84678
316	39286	84645
317	39543	84806
318	39722	84800
319	39916	84821
320	40061	84741
321	40270	84792
322	40511	84910
323	40674	84863
324	40845	84832
325	41176	85132
326	41356	85116
327	41592	85213
328	41902	85461
329	42120	85518
330	42281	85458
331	42448	85408
332	42605	85339
333	42887	85518
334	43122	85601
335	43360	85688
336	43697	85969
337	43892	85967
338	44059	85908
339	44257	85910
340	44366	85740
341	44467	85554
342	44557	85347
343	44659	85163
344	44765	84989
345	44852	84778
346	44969	84624
347	45053	84409
348	45150	84220
349	45327	84179
350	45420	83983
351	45541	83837
352	45650	83671
353	45755	83497
354	45868	83338
355	45971	83161
356	46084	83003
357	46187	82827
358	46323	82710
359	46442	82563
360	46533	82367
361	46619	82163
362	46733	82009
363	46849	81857
364	46945	81672
365	47049	81500
366	47131	81291
367	47262	81169
368	47383	81026
369	47479	80843
370	47591	80687
371	47680	80492
372	47794	80341
373	47914	80199
374	48008	80014
375	48115	79850
376	48226	79694
377	48357	79572
378	48455	79395
379	48558	79227
380	48680	79089
381	48773	78906
382	48892	78764
383	49008	78617
384	49122	78468
385	49230	78309
386	49405	78257
387	49555	78165
388	49660	78000
389	49751	77816
390	49963	77819
391	50210	77878
392	50392	77833
393	50591	77813
394	50830	77853
395	51081	77911
396	51250	77844
397	51453	77826
398	51777	77990
399	51912	77868
400	52224	78011
401	52500	78098
402	52788	78200
403	52940	78099
404	53119	78039
405	53248	77905
406	53394	77795
407	53617	77797
408	53907	77895
409	54105	77859
410	54398	77957
411	54673	78029
412	54828	77927
413	54935	77758
414	55020	77558
415	55107	77362
416	55229	77215
417	55327	77035
418	55426	76856
419	55541	76700
420	55655	76543
421	55796	76423
422	55955	76327
423	56056	76151
424	56180	76009
425	56343	75918
426	56442	75740
427	56539	75561
428	56642	75390
429	56812	75309
430	56947	75181
431	57036	74992
432	57128	74807
433	57235	74643
434	57339	74475
435	57433	74295
436	57542	74133
437	57631	73947
438	57740	73786
439	57893	73682
440	58013	73536
441	58122	73375
442	58229	73214
443	58316	73027
444	58449	72897
445	58555	72734
446	58742	72672
447	58934	72615
448	59123	72554
449	59273	72445
450	59527	72462
451	59824	72531
452	59996	72446
453	60223	72426
454	60528	72500
455	60765	72492
456	60957	72428
457	61245	72478
458	61530	72522
459	61936	72708
460	62134	72647
461	62303	72552
462	62461	72444
463	62796	72540
464	62968	72448
465	63129	72341
466	63345	72297
467	63434	72109
468	63529	71927
469	63640	71764
470	63781	71635
471	63898	71479
472	64042	71353
473	64187	71229
474	64328	71099
475	64619	71135
476	64858	71113
477	65023	71008
478	65204	70921
479	65568	71032
480	65724	70916
481	65908	70830
482	66125	70779
483	66407	70798
484	66601	70721
485	66789	70637
486	67137	70721
487	67315	70626
488	67520	70557
489	67684	70446
490	67872	70360
491	68190	70408
492	68354	70295
493	68571	70237
494	68822	70212
495	69069	70184
496	69258	70094
497	69437	69995
498	69621	69900
499	69927	69927
500	70029	69750
501	70136	69577
502	70242	69404
503	70346	69230
504	70456	69060
505	70558	68884
506	70789	68835
507	70939	68704
508	71076	68562
509	71292	68497
510	71514	68435
511	71779	68415
512	72011	68361
513	72162	68231
514	72370	68154
515	72515	68018
516	72671	67892
517	72998	67924
518	73235	67873
519	73429	67781
520	73587	67655
521	73720	67506
522	73902	67402
523	74185	67389
524	74492	67397
525	74718	67331
526	74867	67196
527	74989	67035
528	75146	66907
529	75258	66738
530	75356	66557
531	75444	66368
532	75575	66217
533	75666	66030
534	75754	65843
535	75854	65664
536	75957	65490
537	76104	65353
538	76265	65229
539	76371	65057
540	76482	64889
541	76610	64737
542	76858	64685
543	77132	64655
544	77318	64549
545	77508	64448
546	77724	64368
547	78024	64355
548	78145	64196
549	78270	64039
550	78461	63936
551	78729	63896
552	78907	63782
553	79059	63646
554	79341	63615
555	79577	63547
556	79722	63405
557	79887	63280
558	80126	63212
559	80337	63122
560	80517	63007
561	80663	62866
562	80840	62748
563	81135	62721
564	81234	62543
565	81333	62365
566	81459	62207
567	81682	62124
568	81856	62003
569	82003	61862
570	82257	61801
571	82476	61713
572	82669	61605
573	82817	61464
574	83035	61374
575	83281	61304
576	83399	61140
577	83578	61020
578	83746	60893
579	83965	60802
580	84090	60643
581	84270	60524
582	84382	60355
583	84486	60182
584	84738	60113
585	84886	59970
586	85003	59806
587	85110	59635
588	85463	59636
589	85597	59482
590	85715	59319
591	85858	59172
592	86111	59101
593	86276	58970
594	86458	58849
595	86699	58769
596	86881	58648
597	87014	58494
598	87123	58324
599	87320	58213
600	87507	58095
601	87621	57929
602	87691	57733
603	87762	57539
604	87835	57347
605	87944	57178
606	88077	57025
607	88146	56831
608	88216	56637
609	88290	56447
610	88366	56259
611	88435	56067
612	88540	55897
613	88611	55707
614	88678	55514
615	88757	55329
616	88830	55141
617	88902	54952
618	89002	54781
619	89098	54608
620	89168	54420
621	89251	54239
622	89319	54050
623	89386	53861
624	89453	53672
625	89548	53500
626	89622	53316
627	89709	53140
628	89826	52981
629	89947	52826
630	90055	52663
631	90128	52480
632	90212	52303
633	90282	52118
634	90354	51936
635	90429	51755
636	90504	51574
637	90598	51405
638	90689	51234
639	90771	51059
640	90854	50883
641	90940	50711
642	91007	50528
643	91108	50364
644	91193	50191
645	91265	50012
646	91336	49832
647	91409	49654
648	91488	49479
649	91556	49299
650	91656	49136
651	91726	48958
652	91800	48782
653	91877	48608
654	92026	48472
655	92156	48325
656	92247	48159
657	92331	47990
658	92439	47832
659	92549	47676
660	92659	47521
661	92760	47361
662	92840	47190
663	92959	47039
664	93063	46881
665	93242	46761
666	93421	46640
667	93600	46519
668	93772	46395
669	93954	46276
670	94100	46138
671	94370	46061
672	94633	45980
673	94850	45877
674	95051	45765
675	95318	45685
676	95580	45601
677	95744	45471
678	96001	45384
679	96258	45297
680	96405	45158
681	96608	45046
682	96772	44914
683	96922	44777
684	97181	44689
685	97407	44585
686	97584	44460
687	97763	44334
688	97867	44175
689	97979	44019
690	98075	43857
691	98196	43705
692	98295	43545
693	98384	43379
694	98496	43225
695	98593	43063
696	98746	42927
697	98871	42778
698	99028	42643
699	99130	42484
700	99276	42344
701	99377	42185
702	99487	42030
703	99607	41880
704	99715	41724
705	99923	41611
706	100142	41501
707	100382	41400
708	100545	41267
709	100713	41136
710	100880	41004
711	101093	40891
712	101300	40775
713	101537	40672
714	101719	40545
715	101917	40425
716	102229	40350
717	102397	40217
718	102574	40088
719	102737	39953
720	103081	39888
721	103278	39766
722	103437	39629
723	103692	39529
724	103935	39423
725	104097	39287
726	104303	39167
727	104624	39090
728	104802	38959
729	105018	38842
730	105341	38764
731	105536	38638
732	105694	38500
733	105887	38373
734	106135	38266
735	106368	38153
736	106560	38026
737	106775	37906
738	107076	37817
739	107266	37688
740	107438	37552
741	107859	37503
742	108086	37386
743	108259	37250
744	108460	37124
745	108735	37022
746	108914	36888
747	109091	36752
748	109420	36668
749	109570	36523
750	109771	36395
751	109940	36256
752	110170	36138
753	110415	36023
754	110597	35889
755	110807	35763
756	110999	35631
757	111310	35536
758	111585	35430
759	111721	35280
760	111897	35142
761	112068	35003
762	112407	34915
763	112680	34807
764	112832	34661
765	113046	34533
766	113220	34394
767	113465	34276
768	113735	34165
769	113877	34015
770	114027	33867
771	114314	33761
772	114581	33648
773	114775	33513
774	114973	33379
775	115266	33272
776	115501	33148
777	115764	33033
778	116146	32950
779	116391	32828
780	116570	32687
781	116731	32541
782	116891	32395
783	117133	32271
784	117331	32135
785	117517	31995
786	117736	31865
787	118095	31772
788	118254	31624
789	118409	31475
790	118657	31352
791	118935	31235
792	119138	31099
793	119403	30978
794	119641	30850
795	119814	30706
796	119979	30559
797	120120	30406
798	120478	30308
799	120623	30155
800	120778	30006
801	120981	29868
802	121238	29743
803	121496	29618
804	121758	29494
805	121935	29349
806	122177	29219
807	122344	29071
808	122710	28971
809	122887	28825
810	123093	28686
811	123290	28545
812	123581	28425
813	123903	28312
814	124056	28160
815	124224	28011
816	124508	27888
817	124687	27742
818	124898	27602
819	125048	27449
820	125324	27324
821	125584	27194
822	125712	27036
823	125930	26897
824	126250	26780
825	126418	26630
826	126690	26502
827	126962	26373
828	127205	26239
829	127477	26109
830	127782	25986
831	128009	25848
832	128225	25706
833	128567	25590
834	128798	25451
835	128996	25305
836	129252	25170
837	129502	25035
838	129640	24877
839	129809	24725
840	130091	24595
841	130328	24455
842	130505	24305
843	130744	24166
844	131048	24038
845	131206	23883
846	131435	23742
847	131794	23623
848	132060	23487
849	132234	23335
850	132538	23205
851	132822	23072
852	132953	22912
853	133112	22756
854	133296	22605
855	133551	22466
856	133871	22338
857	134043	22184
858	134209	22029
859	134560	21905
860	134756	21755
861	134960	21606
862	135243	21469
863	135427	21317
864	135615	21165
865	135798	21012
866	135963	20857
867	136280	20724
868	136450	20569
869	136589	20409
870	136813	20262
871	137057	20118
872	137253	19967
873	137470	19818
874	137654	19664
875	137933	19524
876	138116	19370
877	138329	19221
878	138689	19091
879	138853	18934
880	139072	18784
881	139236	18628
882	139493	18483
883	139758	18339
884	139925	18182
885	140235	18043
886	140468	17895
887	140665	17741
888	140934	17596
889	141147	17445
890	141333	17289
891	141579	17141
892	141912	17004
893	142088	16847
894	142219	16685
895	142347	16522
896	142519	16365
897	142715	16210
898	142892	16053
899	143123	15902
900	143268	15742
901	143438	15584
902	143699	15436
903	143857	15276
904	143994	15115
905	144160	14957
906	144322	14798
907	144450	14635
908	144736	14489
909	144928	14333
910	145076	14173
911	145301	14020
912	145587	13873
913	145709	13710
914	145923	13555
915	146227	13409
916	146467	13257
917	146620	13096
918	146890	12946
919	147169	12797
920	147300	12634
921	147447	12473
922	147647	12317
923	147967	12170
924	148186	12015
925	148356	11855
926	148738	11712
927	148934	11555
928	149170	11400
929	149448	11248
930	149647	11090
931	149922	10938
932	150178	10784
933	150381	10626
934	150549	10466
935	150705	10304
936	150925	10147
937	151220	9995
938	151369	9833
939	151602	9676
940	151898	9523
941	152053	9362
942	152241	9202
943	152497	9046
944	152770	8891
945	152923	8729
946	153075	8567
947	153425	8415
948	153596	8254
949	153789	8094
950	154016	7935
951	154322	7780
952	154647	7626
953	154874	7467
954	155144	7310
955	155290	7147
956	155449	6984
957	155824	6831
958	156015	6670
959	156163	6506
960	156298	6343
961	156431	6179
962	156680	6019
963	157014	5863
964	157188	5701
965	157405	5540
966	157600	5378
967	157874	5218
968	158147	5059
969	158364	4897
970	158551	4735
971	158733	4572
972	159075	4414
973	159330	4253
974	159527	4090
975	159726	3927
976	160095	3768
977	160240	3604
978	160393	3440
